update,avg_reward,ma_reward,invalid_rate,ma_invalid,coop_rate,mutual_coop_rate,mutual_defect_rate,exploit_rate,exploited_rate,kl,use_mapped
29,0.125,-0.3659010025768074,0.5,0.5829999196579708,0.375,0.375,0.0,0.125,0.0,-68.3772964477539,1
30,1.125,-0.2168109023191267,0.25,0.5496999276921738,0.625,0.625,0.0,0.125,0.0,-62.09819030761719,1
31,0.875,-0.10762981208721402,0.375,0.5322299349229564,0.25,0.25,0.0,0.375,0.0,-97.90969848632812,1
32,2.0,0.1031331691215074,0.0,0.4790069414306608,1.0,1.0,0.0,0.0,0.0,-131.18557739257812,1
33,2.125,0.3053198522093567,0.0,0.4311062472875947,0.875,0.875,0.0,0.125,0.0,-165.23736572265625,1
34,1.0,0.37478786698842104,0.25,0.41299562255883526,0.75,0.75,0.0,0.0,0.0,-157.78375244140625,1
35,2.125,0.549809080289579,0.0,0.37169606030295177,0.875,0.875,0.0,0.125,0.0,-75.18505859375,1
36,2.25,0.7198281722606211,0.0,0.3345264542726566,0.75,0.75,0.0,0.25,0.0,-107.10447692871094,1
37,1.625,0.810345355034559,0.125,0.31357380884539093,0.75,0.75,0.0,0.125,0.0,-44.28681182861328,1
38,1.125,0.8418108195311031,0.25,0.30721642796085186,0.625,0.625,0.0,0.125,0.0,-88.11665344238281,1
39,2.0,0.957629737577993,0.0,0.27649478516476667,1.0,1.0,0.0,0.0,0.0,-156.12057495117188,1
40,2.0,1.0618667638201937,0.0,0.24884530664829,1.0,1.0,0.0,0.0,0.0,-161.59591674804688,1
41,2.25,1.1806800874381744,0.0,0.223960775983461,0.75,0.75,0.0,0.25,0.0,-160.9908447265625,1
42,2.0,1.2626120786943569,0.0,0.2015646983851149,1.0,1.0,0.0,0.0,0.0,-150.75051879882812,1
43,2.0,1.3363508708249212,0.0,0.1814082285466034,1.0,1.0,0.0,0.0,0.0,-151.85848999023438,1
44,2.0,1.4027157837424291,0.0,0.16326740569194306,1.0,1.0,0.0,0.0,0.0,-147.79354858398438,1
45,2.0,1.462444205368186,0.0,0.14694066512274875,1.0,1.0,0.0,0.0,0.0,-145.47943115234375,1
46,2.125,1.5286997848313675,0.0,0.1322465986104739,0.875,0.875,0.0,0.125,0.0,-145.18685913085938,1
47,2.0,1.5758298063482308,0.0,0.1190219387494265,1.0,1.0,0.0,0.0,0.0,-137.4167022705078,1
48,2.0,1.6182468257134077,0.0,0.10711974487448385,1.0,1.0,0.0,0.0,0.0,-137.0216827392578,1
49,2.0,1.656422143142067,0.0,0.09640777038703546,1.0,1.0,0.0,0.0,0.0,-140.9853515625,1
50,2.125,1.7032799288278602,0.0,0.08676699334833192,0.875,0.875,0.0,0.125,0.0,-142.40618896484375,1
